Judul Artikel,Tanggal Upload,Alamat
"Inmendagri PPKM Darurat Terbit, Begini Rincian Pengetatan Kegiatannya","
nasional
Inmendagri PPKM Darurat Terbit, Begini Rincian Pengetatan Kegiatannya
Instruksi Menteri Dalam Negeri (Inmendagri) terkait PPKM Darurat telah terbit dengan No. 15/2021.
02 Juli 2021 14:23 WIB
",02 Juli 2021 14:23 WIB,https://nasional.okezone.com/read/2021/07/02/337/2434461/inmendagri-ppkm-darurat-terbit-begini-rincian-pengetatan-kegiatannya
"Raih Pin Emas Jokowi, Kapolda Kalteng Terus Berinovasi Cegah Covid-19","
news
Raih Pin Emas Jokowi, Kapolda Kalteng Terus Berinovasi Cegah Covid-19
PPKM Skala Mikro yang berada Jalan Yogyakarta Kelurahan Menteng Kota Palangka Raya dinobatkan sebagai juara pertama.
02 Juli 2021 13:31 WIB
",02 Juli 2021 13:31 WIB,https://news.okezone.com/read/2021/07/02/340/2434420/raih-pin-emas-jokowi-kapolda-kalteng-terus-berinovasi-cegah-covid-19
"Pemerintah Terapkan PPKM Darurat, Berikut Beberapa Faktanya ","
nasional
Pemerintah Terapkan PPKM Darurat, Berikut Beberapa Faktanya 
Beberapa hal terkait pemberlakuan PPKM Darurat.
02 Juli 2021 04:22 WIB
",02 Juli 2021 04:22 WIB,https://nasional.okezone.com/read/2021/07/02/337/2434184/pemerintah-terapkan-ppkm-darurat-berikut-beberapa-faktanya
"PPKM Darurat, Kemensos Segera Salurkan Bantuan Sosial Tunai ","
nasional
PPKM Darurat, Kemensos Segera Salurkan Bantuan Sosial Tunai 

01 Juli 2021 23:24 WIB
",01 Juli 2021 23:24 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434152/ppkm-darurat-kemensos-segera-salurkan-bantuan-sosial-tunai
KOI Harapkan Kehadiran Presiden Jokowi di Upacara Pelepasan Atlet ke Olimpiade Tokyo 2020,"
sports
KOI Harapkan Kehadiran Presiden Jokowi di Upacara Pelepasan Atlet ke Olimpiade Tokyo 2020
KOI mengharapkan keharidan Presiden Jokowi di acara pelepasan atlet menujuOlimpiade Tokyo 2020.
01 Juli 2021 22:27 WIB
",01 Juli 2021 22:27 WIB,https://sports.okezone.com/read/2021/07/01/43/2434132/koi-harapkan-kehadiran-presiden-jokowi-di-upacara-pelepasan-atlet-ke-olimpiade-tokyo-2020
" Hingga Malam Ini, RSDC Wisma Atlet Kemayoran Rawat 7.118 Pasien Covid-19 ","
nasional
 Hingga Malam Ini, RSDC Wisma Atlet Kemayoran Rawat 7.118 Pasien Covid-19 
Jumlah pasien rawat inap di Rumah Sakit Darurat Covid-19 (RSDC) Wisma Atlet Kemayoran, Jakarta Pusat bertambah.
01 Juli 2021 20:35 WIB
",01 Juli 2021 20:35 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434083/hingga-malam-ini-rsdc-wisma-atlet-kemayoran-rawat-7-118-pasien-covid-19
Tak Ada Mal Buka Sampai 20 Juli 2021 saat PPKM Darurat,"
economy
Tak Ada Mal Buka Sampai 20 Juli 2021 saat PPKM Darurat
Presiden Joko Widodo (Jokowi) telah memutuskan menerapkan PPKM Darurat berlaku mulai 3 Juli 2021 sampai 20 Juli 2021.
01 Juli 2021 19:47 WIB
",01 Juli 2021 19:47 WIB,https://economy.okezone.com/read/2021/07/01/320/2434057/tak-ada-mal-buka-sampai-20-juli-2021-saat-ppkm-darurat
"PPKM Darurat 3 Juli-20 Juli 2021, Jokowi Minta Seluruh Rakyat Tenang","
economy
PPKM Darurat 3 Juli-20 Juli 2021, Jokowi Minta Seluruh Rakyat Tenang
Pemerintah telah resmi memberlakukan kebijakan PPKM Darurat mulain dari 3 Juli sampai 20 Juli.
01 Juli 2021 19:38 WIB
",01 Juli 2021 19:38 WIB,https://economy.okezone.com/read/2021/07/01/320/2434052/ppkm-darurat-3-juli-20-juli-2021-jokowi-minta-seluruh-rakyat-tenang
Instruksi Kapolri kepada Anak Buahnya Terkait Penerapan PPKM Darurat,"
nasional
Instruksi Kapolri kepada Anak Buahnya Terkait Penerapan PPKM Darurat
Besok kita akan memasuki masa PPKM Darurat dan Operasi Aman Nusa II Penanganan Covid-19 Lanjutan di Jawa dan Bali.
01 Juli 2021 19:08 WIB
",01 Juli 2021 19:08 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434040/instruksi-kapolri-kepada-anak-buahnya-terkait-penerapan-ppkm-darurat
Ada Ratusan Pemda Belum Tuntaskan Penyederhanaan Birokrasi,"
economy
Ada Ratusan Pemda Belum Tuntaskan Penyederhanaan Birokrasi
Ratusan pemerintah daerah (pemda) belum menuntaskan penyederhanaan birokrasi.
01 Juli 2021 18:28 WIB
",01 Juli 2021 18:28 WIB,https://economy.okezone.com/read/2021/07/01/320/2434021/ada-ratusan-pemda-belum-tuntaskan-penyederhanaan-birokrasi
Wapres Dorong Instansi Segera Lakukan Penyederhanaan Birokrasi,"
nasional
Wapres Dorong Instansi Segera Lakukan Penyederhanaan Birokrasi
Wakil Presiden Republik Indonesia Ma'ruf Amin meminta instansi pemerintah yang belum melakukan penyederhanaan birokrasi
01 Juli 2021 18:27 WIB
",01 Juli 2021 18:27 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434020/wapres-dorong-instansi-segera-lakukan-penyederhanaan-birokrasi
"PPKM Darurat, Ini Pesan Mendagri Tito Karnavian","
nasional
PPKM Darurat, Ini Pesan Mendagri Tito Karnavian
Ini masalah kendali sosial, kendali masyarakat cukup banyak se-Jawa Bali.
01 Juli 2021 16:31 WIB
",01 Juli 2021 16:31 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433941/ppkm-darurat-ini-pesan-mendagri-tito-karnavian
"Soal PPKM Darurat Jawa-Bali, Mendagri Tito : Kami Siapkan Regulasinya","
nasional
Soal PPKM Darurat Jawa-Bali, Mendagri Tito : Kami Siapkan Regulasinya
Tentang PPKM Darurat Jawa-Bali, itu akan kami tuangkan dalam bentuk regulasi, tadi disepakati Intruksi Mendagri.
01 Juli 2021 16:19 WIB
",01 Juli 2021 16:19 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433930/soal-ppkm-darurat-jawa-bali-mendagri-tito-kami-siapkan-regulasinya
"Lockdown Mini Jawa-Bali, Selengkapnya di iNews Sore Kamis Pukul 16.00 WIB","
nasional
Lockdown Mini Jawa-Bali, Selengkapnya di iNews Sore Kamis Pukul 16.00 WIB
Fasilitas umum, tempat ibadah, kegiatan olahraga seni dan budaya ditutup.
01 Juli 2021 16:00 WIB
",01 Juli 2021 16:00 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433921/lockdown-mini-jawa-bali-selengkapnya-di-inews-sore-kamis-pukul-16-00-wib
Food Estate Jadi Senjata Atasi Ancaman Krisis Pangan Akibat Covid-19,"
economy
Food Estate Jadi Senjata Atasi Ancaman Krisis Pangan Akibat Covid-19
Negara anggota G20 membahas perubahan tata kelola ketersediaan pangan dunia akibat pandemi Covid-19
01 Juli 2021 15:23 WIB
",01 Juli 2021 15:23 WIB,https://economy.okezone.com/read/2021/07/01/320/2433900/food-estate-jadi-senjata-atasi-ancaman-krisis-pangan-akibat-covid-19
Luhut: Kepala Daerah Bisa Diberhentikan Jika Tak Jalankan Ketentuan PPKM Darurat,"
nasional
Luhut: Kepala Daerah Bisa Diberhentikan Jika Tak Jalankan Ketentuan PPKM Darurat
Menurut Luhut, Gubernur, Bupati dan Wali Kota bisa diberhentikan sementara apabila tak menjalankan aturan yang tertuang dalam detil PPKM
01 Juli 2021 14:50 WIB
",01 Juli 2021 14:50 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433876/luhut-kepala-daerah-bisa-diberhentikan-jika-tak-jalankan-ketentuan-ppkm-darurat
"Raih Pin Emas Jokowi, Kapolda Kalteng Terus Berinovasi Cegah Covid-19","
news
Raih Pin Emas Jokowi, Kapolda Kalteng Terus Berinovasi Cegah Covid-19
PPKM Skala Mikro yang berada Jalan Yogyakarta Kelurahan Menteng Kota Palangka Raya dinobatkan sebagai juara pertama.
02 Juli 2021 13:31 WIB
",02 Juli 2021 13:31 WIB,https://news.okezone.com/read/2021/07/02/340/2434420/raih-pin-emas-jokowi-kapolda-kalteng-terus-berinovasi-cegah-covid-19
"Pemerintah Terapkan PPKM Darurat, Berikut Beberapa Faktanya ","
nasional
Pemerintah Terapkan PPKM Darurat, Berikut Beberapa Faktanya 
Beberapa hal terkait pemberlakuan PPKM Darurat.
02 Juli 2021 04:22 WIB
",02 Juli 2021 04:22 WIB,https://nasional.okezone.com/read/2021/07/02/337/2434184/pemerintah-terapkan-ppkm-darurat-berikut-beberapa-faktanya
"PPKM Darurat, Kemensos Segera Salurkan Bantuan Sosial Tunai ","
nasional
PPKM Darurat, Kemensos Segera Salurkan Bantuan Sosial Tunai 

01 Juli 2021 23:24 WIB
",01 Juli 2021 23:24 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434152/ppkm-darurat-kemensos-segera-salurkan-bantuan-sosial-tunai
KOI Harapkan Kehadiran Presiden Jokowi di Upacara Pelepasan Atlet ke Olimpiade Tokyo 2020,"
sports
KOI Harapkan Kehadiran Presiden Jokowi di Upacara Pelepasan Atlet ke Olimpiade Tokyo 2020
KOI mengharapkan keharidan Presiden Jokowi di acara pelepasan atlet menujuOlimpiade Tokyo 2020.
01 Juli 2021 22:27 WIB
",01 Juli 2021 22:27 WIB,https://sports.okezone.com/read/2021/07/01/43/2434132/koi-harapkan-kehadiran-presiden-jokowi-di-upacara-pelepasan-atlet-ke-olimpiade-tokyo-2020
" Hingga Malam Ini, RSDC Wisma Atlet Kemayoran Rawat 7.118 Pasien Covid-19 ","
nasional
 Hingga Malam Ini, RSDC Wisma Atlet Kemayoran Rawat 7.118 Pasien Covid-19 
Jumlah pasien rawat inap di Rumah Sakit Darurat Covid-19 (RSDC) Wisma Atlet Kemayoran, Jakarta Pusat bertambah.
01 Juli 2021 20:35 WIB
",01 Juli 2021 20:35 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434083/hingga-malam-ini-rsdc-wisma-atlet-kemayoran-rawat-7-118-pasien-covid-19
Tak Ada Mal Buka Sampai 20 Juli 2021 saat PPKM Darurat,"
economy
Tak Ada Mal Buka Sampai 20 Juli 2021 saat PPKM Darurat
Presiden Joko Widodo (Jokowi) telah memutuskan menerapkan PPKM Darurat berlaku mulai 3 Juli 2021 sampai 20 Juli 2021.
01 Juli 2021 19:47 WIB
",01 Juli 2021 19:47 WIB,https://economy.okezone.com/read/2021/07/01/320/2434057/tak-ada-mal-buka-sampai-20-juli-2021-saat-ppkm-darurat
"PPKM Darurat 3 Juli-20 Juli 2021, Jokowi Minta Seluruh Rakyat Tenang","
economy
PPKM Darurat 3 Juli-20 Juli 2021, Jokowi Minta Seluruh Rakyat Tenang
Pemerintah telah resmi memberlakukan kebijakan PPKM Darurat mulain dari 3 Juli sampai 20 Juli.
01 Juli 2021 19:38 WIB
",01 Juli 2021 19:38 WIB,https://economy.okezone.com/read/2021/07/01/320/2434052/ppkm-darurat-3-juli-20-juli-2021-jokowi-minta-seluruh-rakyat-tenang
Instruksi Kapolri kepada Anak Buahnya Terkait Penerapan PPKM Darurat,"
nasional
Instruksi Kapolri kepada Anak Buahnya Terkait Penerapan PPKM Darurat
Besok kita akan memasuki masa PPKM Darurat dan Operasi Aman Nusa II Penanganan Covid-19 Lanjutan di Jawa dan Bali.
01 Juli 2021 19:08 WIB
",01 Juli 2021 19:08 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434040/instruksi-kapolri-kepada-anak-buahnya-terkait-penerapan-ppkm-darurat
Ada Ratusan Pemda Belum Tuntaskan Penyederhanaan Birokrasi,"
economy
Ada Ratusan Pemda Belum Tuntaskan Penyederhanaan Birokrasi
Ratusan pemerintah daerah (pemda) belum menuntaskan penyederhanaan birokrasi.
01 Juli 2021 18:28 WIB
",01 Juli 2021 18:28 WIB,https://economy.okezone.com/read/2021/07/01/320/2434021/ada-ratusan-pemda-belum-tuntaskan-penyederhanaan-birokrasi
Wapres Dorong Instansi Segera Lakukan Penyederhanaan Birokrasi,"
nasional
Wapres Dorong Instansi Segera Lakukan Penyederhanaan Birokrasi
Wakil Presiden Republik Indonesia Ma'ruf Amin meminta instansi pemerintah yang belum melakukan penyederhanaan birokrasi
01 Juli 2021 18:27 WIB
",01 Juli 2021 18:27 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434020/wapres-dorong-instansi-segera-lakukan-penyederhanaan-birokrasi
"PPKM Darurat, Ini Pesan Mendagri Tito Karnavian","
nasional
PPKM Darurat, Ini Pesan Mendagri Tito Karnavian
Ini masalah kendali sosial, kendali masyarakat cukup banyak se-Jawa Bali.
01 Juli 2021 16:31 WIB
",01 Juli 2021 16:31 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433941/ppkm-darurat-ini-pesan-mendagri-tito-karnavian
"Soal PPKM Darurat Jawa-Bali, Mendagri Tito : Kami Siapkan Regulasinya","
nasional
Soal PPKM Darurat Jawa-Bali, Mendagri Tito : Kami Siapkan Regulasinya
Tentang PPKM Darurat Jawa-Bali, itu akan kami tuangkan dalam bentuk regulasi, tadi disepakati Intruksi Mendagri.
01 Juli 2021 16:19 WIB
",01 Juli 2021 16:19 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433930/soal-ppkm-darurat-jawa-bali-mendagri-tito-kami-siapkan-regulasinya
"Lockdown Mini Jawa-Bali, Selengkapnya di iNews Sore Kamis Pukul 16.00 WIB","
nasional
Lockdown Mini Jawa-Bali, Selengkapnya di iNews Sore Kamis Pukul 16.00 WIB
Fasilitas umum, tempat ibadah, kegiatan olahraga seni dan budaya ditutup.
01 Juli 2021 16:00 WIB
",01 Juli 2021 16:00 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433921/lockdown-mini-jawa-bali-selengkapnya-di-inews-sore-kamis-pukul-16-00-wib
Food Estate Jadi Senjata Atasi Ancaman Krisis Pangan Akibat Covid-19,"
economy
Food Estate Jadi Senjata Atasi Ancaman Krisis Pangan Akibat Covid-19
Negara anggota G20 membahas perubahan tata kelola ketersediaan pangan dunia akibat pandemi Covid-19
01 Juli 2021 15:23 WIB
",01 Juli 2021 15:23 WIB,https://economy.okezone.com/read/2021/07/01/320/2433900/food-estate-jadi-senjata-atasi-ancaman-krisis-pangan-akibat-covid-19
Luhut: Kepala Daerah Bisa Diberhentikan Jika Tak Jalankan Ketentuan PPKM Darurat,"
nasional
Luhut: Kepala Daerah Bisa Diberhentikan Jika Tak Jalankan Ketentuan PPKM Darurat
Menurut Luhut, Gubernur, Bupati dan Wali Kota bisa diberhentikan sementara apabila tak menjalankan aturan yang tertuang dalam detil PPKM
01 Juli 2021 14:50 WIB
",01 Juli 2021 14:50 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433876/luhut-kepala-daerah-bisa-diberhentikan-jika-tak-jalankan-ketentuan-ppkm-darurat
"PPKM Darurat, Menko Luhut: Kita Belajar dari Negara Lain dan Presiden Setuju","
economy
PPKM Darurat, Menko Luhut: Kita Belajar dari Negara Lain dan Presiden Setuju
PPKM darurat resmi diberlakukan mulai 3 Juli hingga 20 Juli 2021.
01 Juli 2021 14:41 WIB
",01 Juli 2021 14:41 WIB,https://economy.okezone.com/read/2021/07/01/320/2433863/ppkm-darurat-menko-luhut-kita-belajar-dari-negara-lain-dan-presiden-setuju
"Pemerintah Terapkan PPKM Darurat, Berikut Beberapa Faktanya ","
nasional
Pemerintah Terapkan PPKM Darurat, Berikut Beberapa Faktanya 
Beberapa hal terkait pemberlakuan PPKM Darurat.
02 Juli 2021 04:22 WIB
",02 Juli 2021 04:22 WIB,https://nasional.okezone.com/read/2021/07/02/337/2434184/pemerintah-terapkan-ppkm-darurat-berikut-beberapa-faktanya
"PPKM Darurat, Kemensos Segera Salurkan Bantuan Sosial Tunai ","
nasional
PPKM Darurat, Kemensos Segera Salurkan Bantuan Sosial Tunai 

01 Juli 2021 23:24 WIB
",01 Juli 2021 23:24 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434152/ppkm-darurat-kemensos-segera-salurkan-bantuan-sosial-tunai
KOI Harapkan Kehadiran Presiden Jokowi di Upacara Pelepasan Atlet ke Olimpiade Tokyo 2020,"
sports
KOI Harapkan Kehadiran Presiden Jokowi di Upacara Pelepasan Atlet ke Olimpiade Tokyo 2020
KOI mengharapkan keharidan Presiden Jokowi di acara pelepasan atlet menujuOlimpiade Tokyo 2020.
01 Juli 2021 22:27 WIB
",01 Juli 2021 22:27 WIB,https://sports.okezone.com/read/2021/07/01/43/2434132/koi-harapkan-kehadiran-presiden-jokowi-di-upacara-pelepasan-atlet-ke-olimpiade-tokyo-2020
" Hingga Malam Ini, RSDC Wisma Atlet Kemayoran Rawat 7.118 Pasien Covid-19 ","
nasional
 Hingga Malam Ini, RSDC Wisma Atlet Kemayoran Rawat 7.118 Pasien Covid-19 
Jumlah pasien rawat inap di Rumah Sakit Darurat Covid-19 (RSDC) Wisma Atlet Kemayoran, Jakarta Pusat bertambah.
01 Juli 2021 20:35 WIB
",01 Juli 2021 20:35 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434083/hingga-malam-ini-rsdc-wisma-atlet-kemayoran-rawat-7-118-pasien-covid-19
Tak Ada Mal Buka Sampai 20 Juli 2021 saat PPKM Darurat,"
economy
Tak Ada Mal Buka Sampai 20 Juli 2021 saat PPKM Darurat
Presiden Joko Widodo (Jokowi) telah memutuskan menerapkan PPKM Darurat berlaku mulai 3 Juli 2021 sampai 20 Juli 2021.
01 Juli 2021 19:47 WIB
",01 Juli 2021 19:47 WIB,https://economy.okezone.com/read/2021/07/01/320/2434057/tak-ada-mal-buka-sampai-20-juli-2021-saat-ppkm-darurat
"PPKM Darurat 3 Juli-20 Juli 2021, Jokowi Minta Seluruh Rakyat Tenang","
economy
PPKM Darurat 3 Juli-20 Juli 2021, Jokowi Minta Seluruh Rakyat Tenang
Pemerintah telah resmi memberlakukan kebijakan PPKM Darurat mulain dari 3 Juli sampai 20 Juli.
01 Juli 2021 19:38 WIB
",01 Juli 2021 19:38 WIB,https://economy.okezone.com/read/2021/07/01/320/2434052/ppkm-darurat-3-juli-20-juli-2021-jokowi-minta-seluruh-rakyat-tenang
Instruksi Kapolri kepada Anak Buahnya Terkait Penerapan PPKM Darurat,"
nasional
Instruksi Kapolri kepada Anak Buahnya Terkait Penerapan PPKM Darurat
Besok kita akan memasuki masa PPKM Darurat dan Operasi Aman Nusa II Penanganan Covid-19 Lanjutan di Jawa dan Bali.
01 Juli 2021 19:08 WIB
",01 Juli 2021 19:08 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434040/instruksi-kapolri-kepada-anak-buahnya-terkait-penerapan-ppkm-darurat
Ada Ratusan Pemda Belum Tuntaskan Penyederhanaan Birokrasi,"
economy
Ada Ratusan Pemda Belum Tuntaskan Penyederhanaan Birokrasi
Ratusan pemerintah daerah (pemda) belum menuntaskan penyederhanaan birokrasi.
01 Juli 2021 18:28 WIB
",01 Juli 2021 18:28 WIB,https://economy.okezone.com/read/2021/07/01/320/2434021/ada-ratusan-pemda-belum-tuntaskan-penyederhanaan-birokrasi
Wapres Dorong Instansi Segera Lakukan Penyederhanaan Birokrasi,"
nasional
Wapres Dorong Instansi Segera Lakukan Penyederhanaan Birokrasi
Wakil Presiden Republik Indonesia Ma'ruf Amin meminta instansi pemerintah yang belum melakukan penyederhanaan birokrasi
01 Juli 2021 18:27 WIB
",01 Juli 2021 18:27 WIB,https://nasional.okezone.com/read/2021/07/01/337/2434020/wapres-dorong-instansi-segera-lakukan-penyederhanaan-birokrasi
"PPKM Darurat, Ini Pesan Mendagri Tito Karnavian","
nasional
PPKM Darurat, Ini Pesan Mendagri Tito Karnavian
Ini masalah kendali sosial, kendali masyarakat cukup banyak se-Jawa Bali.
01 Juli 2021 16:31 WIB
",01 Juli 2021 16:31 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433941/ppkm-darurat-ini-pesan-mendagri-tito-karnavian
"Soal PPKM Darurat Jawa-Bali, Mendagri Tito : Kami Siapkan Regulasinya","
nasional
Soal PPKM Darurat Jawa-Bali, Mendagri Tito : Kami Siapkan Regulasinya
Tentang PPKM Darurat Jawa-Bali, itu akan kami tuangkan dalam bentuk regulasi, tadi disepakati Intruksi Mendagri.
01 Juli 2021 16:19 WIB
",01 Juli 2021 16:19 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433930/soal-ppkm-darurat-jawa-bali-mendagri-tito-kami-siapkan-regulasinya
"Lockdown Mini Jawa-Bali, Selengkapnya di iNews Sore Kamis Pukul 16.00 WIB","
nasional
Lockdown Mini Jawa-Bali, Selengkapnya di iNews Sore Kamis Pukul 16.00 WIB
Fasilitas umum, tempat ibadah, kegiatan olahraga seni dan budaya ditutup.
01 Juli 2021 16:00 WIB
",01 Juli 2021 16:00 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433921/lockdown-mini-jawa-bali-selengkapnya-di-inews-sore-kamis-pukul-16-00-wib
Food Estate Jadi Senjata Atasi Ancaman Krisis Pangan Akibat Covid-19,"
economy
Food Estate Jadi Senjata Atasi Ancaman Krisis Pangan Akibat Covid-19
Negara anggota G20 membahas perubahan tata kelola ketersediaan pangan dunia akibat pandemi Covid-19
01 Juli 2021 15:23 WIB
",01 Juli 2021 15:23 WIB,https://economy.okezone.com/read/2021/07/01/320/2433900/food-estate-jadi-senjata-atasi-ancaman-krisis-pangan-akibat-covid-19
Luhut: Kepala Daerah Bisa Diberhentikan Jika Tak Jalankan Ketentuan PPKM Darurat,"
nasional
Luhut: Kepala Daerah Bisa Diberhentikan Jika Tak Jalankan Ketentuan PPKM Darurat
Menurut Luhut, Gubernur, Bupati dan Wali Kota bisa diberhentikan sementara apabila tak menjalankan aturan yang tertuang dalam detil PPKM
01 Juli 2021 14:50 WIB
",01 Juli 2021 14:50 WIB,https://nasional.okezone.com/read/2021/07/01/337/2433876/luhut-kepala-daerah-bisa-diberhentikan-jika-tak-jalankan-ketentuan-ppkm-darurat
"PPKM Darurat, Menko Luhut: Kita Belajar dari Negara Lain dan Presiden Setuju","
economy
PPKM Darurat, Menko Luhut: Kita Belajar dari Negara Lain dan Presiden Setuju
PPKM darurat resmi diberlakukan mulai 3 Juli hingga 20 Juli 2021.
01 Juli 2021 14:41 WIB
",01 Juli 2021 14:41 WIB,https://economy.okezone.com/read/2021/07/01/320/2433863/ppkm-darurat-menko-luhut-kita-belajar-dari-negara-lain-dan-presiden-setuju
"PPKM Darurat, Barengi Baca Doa Ini Supaya Terhindar dari Wabah Covid-19","
muslim
PPKM Darurat, Barengi Baca Doa Ini Supaya Terhindar dari Wabah Covid-19
Pemerintah segera menerapkan PPKM Darurat, umat Islam pun diimbau dibarengi dengan membaca doa terhindar dari wabah covid-19 berikut ini.
01 Juli 2021 14:38 WIB
",01 Juli 2021 14:38 WIB,http://muslim.okezone.com/read/2021/07/01/618/2433861/ppkm-darurat-barengi-baca-doa-ini-supaya-terhindar-dari-wabah-covid-19
