Judul Artikel,Kanal,Tanggal Upload,Alamat
"Ramai-ramai Mahasiswa Kritik Jokowi, Selengkapnya di iNews Room Selasa Pukul 18.00 WIB","
nasional
Ramai-ramai Mahasiswa Kritik Jokowi, Selengkapnya di iNews Room Selasa Pukul 18.00 WIB
Presiden Joko WIdodo menyikapi kritikan tersebut dengan mengatakan Universitas jangan menghalangi mahasiswa berekspresi.
29 Juni 2021 18:03 WIB
",29 Juni 2021 18:03 WIB,https://nasional.okezone.com/read/2021/06/29/337/2432765/ramai-ramai-mahasiswa-kritik-jokowi-selengkapnya-di-inews-room-selasa-pukul-18-00-wib
"Jokowi: Kritik Bentuk Ekspresi, Universitas Tak Perlu Halangi Mahasiswa","
nasional
Jokowi: Kritik Bentuk Ekspresi, Universitas Tak Perlu Halangi Mahasiswa
Hal itu dikatakan Jokowi untuk menanggapi kritik BEM UI yang menjuluki dirinya the king of lip service.
29 Juni 2021 18:02 WIB
",29 Juni 2021 18:02 WIB,https://nasional.okezone.com/read/2021/06/29/337/2432762/jokowi-kritik-bentuk-ekspresi-universitas-tak-perlu-halangi-mahasiswa
Jokowi : Dulu Dibilang Plonga-Plongo Lalu Otoriter Sekarang King of Lip Service,"
nasional
Jokowi : Dulu Dibilang Plonga-Plongo Lalu Otoriter Sekarang King of Lip Service
Jokowi menyebut, dirinya dulu pernah dijuluki plonga-plongo, klemar-klemer, otoriter, dan sekarang the king of lip service.
29 Juni 2021 16:55 WIB
",29 Juni 2021 16:55 WIB,https://nasional.okezone.com/read/2021/06/29/337/2432728/jokowi-dulu-dibilang-plonga-plongo-lalu-otoriter-sekarang-king-of-lip-service
"BEM UI Beri Julukan King of Lip Service, Jokowi: Mereka Sedang Belajar Ekspresikan Pendapat","
nasional
BEM UI Beri Julukan King of Lip Service, Jokowi: Mereka Sedang Belajar Ekspresikan Pendapat
Jokowi mengaku tidak masalah dengan kritik itu.
29 Juni 2021 15:42 WIB
",29 Juni 2021 15:42 WIB,https://nasional.okezone.com/read/2021/06/29/337/2432678/bem-ui-beri-julukan-king-of-lip-service-jokowi-mereka-sedang-belajar-ekspresikan-pendapat
"Daftar Lengkap Promo Pemilu 2019, Jangan Sampai Terlewatkan!","
lifestyle
Daftar Lengkap Promo Pemilu 2019, Jangan Sampai Terlewatkan!

17 April 2019 15:58 WIB
",17 April 2019 15:58 WIB,https://lifestyle.okezone.com/read/2019/04/17/612/2044742/daftar-lengkap-promo-pemilu-2019-jangan-sampai-terlewatkan
"Keren, NASA Kumpulkan 22 Lagu Sambut Gerhana Matahari Total","
celebrity
Keren, NASA Kumpulkan 22 Lagu Sambut Gerhana Matahari Total
Warga Amerika Serikat menyambut gerhana matahari total yang pertama kali setelah 99 tahun
22 Agustus 2017 16:40 WIB
",22 Agustus 2017 16:40 WIB,https://celebrity.okezone.com/read/2017/08/22/205/1760781/keren-nasa-kumpulkan-22-lagu-sambut-gerhana-matahari-total
Ini Produk Kosmetik Kylie Jenner Paling Cepat Terjual!,"
lifestyle
Ini Produk Kosmetik Kylie Jenner Paling Cepat Terjual!
Ketenaran dari produk kosmetik lipstik dari Kylie Jenner yaitu Kylie LipKit memang tidak bisa disangkal.
11 Juni 2016 22:41 WIB
",11 Juni 2016 22:41 WIB,https://lifestyle.okezone.com/read/2016/06/11/194/1412651/ini-produk-kosmetik-kylie-jenner-paling-cepat-terjual
Kapan Produk Kecantikan Anda Harus Dibuang?,"
news
Kapan Produk Kecantikan Anda Harus Dibuang?
Biasanya, wanita akan menghabiskan setiap tetes terakhir dari setiap produk kecantikan yang mereka punya dan pakai. Tapi ini tidak terjadi terlalu sering.
04 September 2014 09:51 WIB
",04 September 2014 09:51 WIB,https://lifestyle.okezone.com/read/2014/09/04/195/1034070/kapan-produk-kecantikan-anda-harus-dibuang
Miliarder RI yang Semakin Kaya,"
economy
Miliarder RI yang Semakin Kaya
Bisnis dari orang-orang kaya ini beragam, dan rata-rata mereka tidak hanya memegang satu bisnis saja. Ada yang bergerak di bidang batu bara, media, real estat, peternakan, sampai properti.
24 Desember 2013 14:58 WIB
",24 Desember 2013 14:58 WIB,https://economy.okezone.com/read/2013/12/24/320/916868/miliarder-ri-yang-semakin-kaya
Dian Piesesha Disogok Lobster agar Mau Konser Tunggal,"
news
Dian Piesesha Disogok Lobster agar Mau Konser Tunggal
Penyanyi Dian Piesesha yang pernah meraih kejayaan di era 1980-an akan menggelar konser tunggal pada 15 Maret 2013.
08 Maret 2013 10:01 WIB
",08 Maret 2013 10:01 WIB,https://celebrity.okezone.com/read/2013/03/08/386/772824/dian-piesesha-disogok-lobster-agar-mau-konser-tunggal
Daftar Orang Terkaya di Malaysia Versi Majalah Forbes,"
news
Daftar Orang Terkaya di Malaysia Versi Majalah Forbes
Robert Kuok mampu mempertahankan gelar orang terkaya di Malaysia versi majalah Forbes Asia. Kekayaan Robert ini dikeruk melalui kerajaan bisnisnya, Kuok Group. 
04 Juni 2009 14:34 WIB
",04 Juni 2009 14:34 WIB,https://economy.okezone.com/read/2009/06/04/277/226122/daftar-orang-terkaya-di-malaysia-versi-majalah-forbes
"Jokowi: Kritik Bentuk Ekspresi, Universitas Tak Perlu Halangi Mahasiswa","
nasional
Jokowi: Kritik Bentuk Ekspresi, Universitas Tak Perlu Halangi Mahasiswa
Hal itu dikatakan Jokowi untuk menanggapi kritik BEM UI yang menjuluki dirinya the king of lip service.
29 Juni 2021 18:02 WIB
",29 Juni 2021 18:02 WIB,https://nasional.okezone.com/read/2021/06/29/337/2432762/jokowi-kritik-bentuk-ekspresi-universitas-tak-perlu-halangi-mahasiswa
Jokowi : Dulu Dibilang Plonga-Plongo Lalu Otoriter Sekarang King of Lip Service,"
nasional
Jokowi : Dulu Dibilang Plonga-Plongo Lalu Otoriter Sekarang King of Lip Service
Jokowi menyebut, dirinya dulu pernah dijuluki plonga-plongo, klemar-klemer, otoriter, dan sekarang the king of lip service.
29 Juni 2021 16:55 WIB
",29 Juni 2021 16:55 WIB,https://nasional.okezone.com/read/2021/06/29/337/2432728/jokowi-dulu-dibilang-plonga-plongo-lalu-otoriter-sekarang-king-of-lip-service
"BEM UI Beri Julukan King of Lip Service, Jokowi: Mereka Sedang Belajar Ekspresikan Pendapat","
nasional
BEM UI Beri Julukan King of Lip Service, Jokowi: Mereka Sedang Belajar Ekspresikan Pendapat
Jokowi mengaku tidak masalah dengan kritik itu.
29 Juni 2021 15:42 WIB
",29 Juni 2021 15:42 WIB,https://nasional.okezone.com/read/2021/06/29/337/2432678/bem-ui-beri-julukan-king-of-lip-service-jokowi-mereka-sedang-belajar-ekspresikan-pendapat
"Daftar Lengkap Promo Pemilu 2019, Jangan Sampai Terlewatkan!","
lifestyle
Daftar Lengkap Promo Pemilu 2019, Jangan Sampai Terlewatkan!

17 April 2019 15:58 WIB
",17 April 2019 15:58 WIB,https://lifestyle.okezone.com/read/2019/04/17/612/2044742/daftar-lengkap-promo-pemilu-2019-jangan-sampai-terlewatkan
"Keren, NASA Kumpulkan 22 Lagu Sambut Gerhana Matahari Total","
celebrity
Keren, NASA Kumpulkan 22 Lagu Sambut Gerhana Matahari Total
Warga Amerika Serikat menyambut gerhana matahari total yang pertama kali setelah 99 tahun
22 Agustus 2017 16:40 WIB
",22 Agustus 2017 16:40 WIB,https://celebrity.okezone.com/read/2017/08/22/205/1760781/keren-nasa-kumpulkan-22-lagu-sambut-gerhana-matahari-total
Ini Produk Kosmetik Kylie Jenner Paling Cepat Terjual!,"
lifestyle
Ini Produk Kosmetik Kylie Jenner Paling Cepat Terjual!
Ketenaran dari produk kosmetik lipstik dari Kylie Jenner yaitu Kylie LipKit memang tidak bisa disangkal.
11 Juni 2016 22:41 WIB
",11 Juni 2016 22:41 WIB,https://lifestyle.okezone.com/read/2016/06/11/194/1412651/ini-produk-kosmetik-kylie-jenner-paling-cepat-terjual
Kapan Produk Kecantikan Anda Harus Dibuang?,"
news
Kapan Produk Kecantikan Anda Harus Dibuang?
Biasanya, wanita akan menghabiskan setiap tetes terakhir dari setiap produk kecantikan yang mereka punya dan pakai. Tapi ini tidak terjadi terlalu sering.
04 September 2014 09:51 WIB
",04 September 2014 09:51 WIB,https://lifestyle.okezone.com/read/2014/09/04/195/1034070/kapan-produk-kecantikan-anda-harus-dibuang
Miliarder RI yang Semakin Kaya,"
economy
Miliarder RI yang Semakin Kaya
Bisnis dari orang-orang kaya ini beragam, dan rata-rata mereka tidak hanya memegang satu bisnis saja. Ada yang bergerak di bidang batu bara, media, real estat, peternakan, sampai properti.
24 Desember 2013 14:58 WIB
",24 Desember 2013 14:58 WIB,https://economy.okezone.com/read/2013/12/24/320/916868/miliarder-ri-yang-semakin-kaya
Dian Piesesha Disogok Lobster agar Mau Konser Tunggal,"
news
Dian Piesesha Disogok Lobster agar Mau Konser Tunggal
Penyanyi Dian Piesesha yang pernah meraih kejayaan di era 1980-an akan menggelar konser tunggal pada 15 Maret 2013.
08 Maret 2013 10:01 WIB
",08 Maret 2013 10:01 WIB,https://celebrity.okezone.com/read/2013/03/08/386/772824/dian-piesesha-disogok-lobster-agar-mau-konser-tunggal
Daftar Orang Terkaya di Malaysia Versi Majalah Forbes,"
news
Daftar Orang Terkaya di Malaysia Versi Majalah Forbes
Robert Kuok mampu mempertahankan gelar orang terkaya di Malaysia versi majalah Forbes Asia. Kekayaan Robert ini dikeruk melalui kerajaan bisnisnya, Kuok Group. 
04 Juni 2009 14:34 WIB
",04 Juni 2009 14:34 WIB,https://economy.okezone.com/read/2009/06/04/277/226122/daftar-orang-terkaya-di-malaysia-versi-majalah-forbes
